class,spec,spec_id,spell_id,name,aura_type,applications,players,self_pct,single_pct,group_pct,other_pct,recast_median_s,first_seen,last_seen,category,suggested_category,rule
DEATHKNIGHT,Blood,250,1308013,50-Lb Midnight Salmon,BUFF,12,1,100.0,0.0,0.0,0.0,116.97,2026-09-11,2026-09-11,,consumables,R8
DEATHKNIGHT,Blood,250,450699,"\""The 50 Verses of Radiance\""",BUFF,6,1,100.0,0.0,0.0,0.0,177.5,2026-02-14,2026-02-14,,consumables,R8
DEATHKNIGHT,Blood,250,450696,"\""The 50 Verses of Resilience\""",BUFF,5,1,100.0,0.0,0.0,0.0,177.5,2026-02-14,2026-02-14,,consumables,R8
DEATHKNIGHT,Blood,250,1265566,A Restless Soul,BUFF,37,6,100.0,0.0,0.0,0.0,147.49,2026-03-28,2026-08-08,,consumables,R8
DEATHKNIGHT,Blood,250,1263566,Abomination Limb,DEBUFF,122,5,0.0,0.0,0.0,100.0,1.01,2026-03-22,2026-09-23,,,
DEATHKNIGHT,Blood,250,1263569,Abomination Limb,BUFF,30,5,100.0,0.0,0.0,0.0,151.07,2026-03-22,2026-09-23,,utility,R9
DEATHKNIGHT,Blood,250,1302580,Accursed Poison,BUFF,3,1,100.0,0.0,0.0,0.0,2286.46,2026-08-22,2026-08-22,,consumables,R8
DEATHKNIGHT,Blood,250,48778,Acherus Deathcharger,BUFF,4,1,100.0,0.0,0.0,0.0,416.89,2026-08-31,2026-08-31,,utility,R9
DEATHKNIGHT,Blood,250,1247577,Akil'zon's Clarity,BUFF,2148,7,100.0,0.0,0.0,0.0,46.28,2026-03-22,2026-09-24,,consumables,R8
DEATHKNIGHT,Blood,250,1252818,Akil'zon's Cry of Victory,BUFF,15,1,100.0,0.0,0.0,0.0,76.57,2026-09-20,2026-09-20,,consumables,R8
DEATHKNIGHT,Blood,250,299788,Alchemist's Strength,BUFF,18,1,100.0,0.0,0.0,0.0,63.33,2026-02-26,2026-02-26,,consumables,R8
DEATHKNIGHT,Blood,250,383781,Algeth'ar Puzzle,BUFF,6,4,100.0,0.0,0.0,0.0,220.95,2026-03-18,2026-04-26,,consumables,R8
DEATHKNIGHT,Blood,250,1266687,Alnscorned Essence,BUFF,169,8,100.0,0.0,0.0,0.0,53.3,2026-04-15,2026-09-14,,consumables,R8
DEATHKNIGHT,Blood,250,1266686,Alnsight,BUFF,235,8,100.0,0.0,0.0,0.0,39.75,2026-04-15,2026-09-14,,consumables,R8
DEATHKNIGHT,Blood,250,48707,Anti-Magic Shell,BUFF,2514,72,100.0,0.0,0.0,0.0,117.63,2026-02-14,2026-09-24,defensives,defensives,R1
DEATHKNIGHT,Blood,250,444763,Apocalyptic Conquest,BUFF,2,1,100.0,0.0,0.0,0.0,22.37,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,1229746,Arcanoweave Insight,BUFF,1443,23,2.2,97.8,0.0,0.0,20.28,2026-04-10,2026-09-24,,support,R5
DEATHKNIGHT,Blood,250,42650,Army of the Dead,BUFF,1,1,100.0,0.0,0.0,0.0,,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,221562,Asphyxiate,DEBUFF,582,32,0.0,0.0,0.0,100.0,267.25,2026-02-15,2026-09-24,hardCC,,
DEATHKNIGHT,Blood,250,1239640,Astral Antenna,BUFF,42,1,100.0,0.0,0.0,0.0,29.35,2026-02-26,2026-02-26,,consumables,R8
DEATHKNIGHT,Blood,250,1239641,Astral Antenna,BUFF,42,1,100.0,0.0,0.0,0.0,28.79,2026-02-26,2026-02-26,,consumables,R8
DEATHKNIGHT,Blood,250,1295735,Battle Fervor,BUFF,15,1,100.0,0.0,0.0,0.0,90.81,2026-09-13,2026-09-13,,consumables,R8
DEATHKNIGHT,Blood,250,1266182,Bear,BUFF,13,2,100.0,0.0,0.0,0.0,158.72,2026-04-04,2026-09-11,,consumables,R8
DEATHKNIGHT,Blood,250,26297,Berserking,BUFF,5,1,100.0,0.0,0.0,0.0,261.53,2026-09-11,2026-09-11,,offensiveCDs,R3
DEATHKNIGHT,Blood,250,1250587,Binding Flame,BUFF,12,1,100.0,0.0,0.0,0.0,97.64,2026-09-19,2026-09-19,,defensives,R1
DEATHKNIGHT,Blood,250,1272321,Blessing of Potency,BUFF,5,2,100.0,0.0,0.0,0.0,2800.86,2026-04-26,2026-09-09,,consumables,R8
