aura_type,spell_id,name,applications
BUFF,108370,Soul Leech,102147
DEBUFF,55078,Blood Plague,60469
BUFF,81262,Efflorescence,52491
BUFF,180612,Recently Used Death Strike,16086
DEBUFF,321538,Bloodshed,15718
DEBUFF,30213,Legion Strike,13488
BUFF,444741,Anti-Magic Shell,13092
DEBUFF,228645,Heart Strike,12951
BUFF,5672,Healing Stream,12713
BUFF,1278156,Lindormi's Guidance,12252
DEBUFF,471999,Rend Flesh,12062
BUFF,1306308,Ravenous,11694
DEBUFF,118905,Capacitor Totem,11211
DEBUFF,1216943,Void Pulsar,11003
BUFF,386195,Carnivorous Stalkers,10852
BUFF,461895,Unstable Power,10846
DEBUFF,1216858,Void Pulsar,10756
BUFF,61684,Dash,8144
BUFF,428453,Infernal Presence,7838
BUFF,1267765,Stormstream Totem,7244
DEBUFF,465136,Rift Essence,6872
DEBUFF,440313,Devouring Rift,6647
BUFF,108446,Soul Link,6509
DEBUFF,317792,Frostbolt,5668
DEBUFF,1297091,Withering Grasp,5220
BUFF,89751,Felstorm,4551
BUFF,192082,Wind Rush,4343
DEBUFF,317898,Blinding Sleet,4322
DEBUFF,267997,Bile Spit,4314
BUFF,1238173,Pollen Surge,4223
BUFF,1236943,Deep Breath,4110
BUFF,1269866,Void Tentacles,4076
DEBUFF,115804,Mortal Wounds,4038
BUFF,1269470,Rupture,4012
BUFF,1276788,Demonic Power,3873
BUFF,1265577,Transfusion,3732
BUFF,1270079,Grim Ward,3474
BUFF,1280457,Mind Sear,3466
DEBUFF,1280457,Mind Sear,3463
BUFF,1282944,Cluster Weakness,3324
DEBUFF,462661,Voidbinding,3231
BUFF,1219468,Enchanted Party Mask,3194
BUFF,428737,Harmony of the Grove,2923
DEBUFF,1253138,Sic 'Em,2869
BUFF,145629,Anti-Magic Zone,2749
DEBUFF,160065,Tendon Rip,2715
BUFF,433925,Essence of the Blood Queen,2702
DEBUFF,461910,Cosmic Ascension,2656
BUFF,1255966,Regeneratin',2646
